date,EW_NoRD,EW_RD,VW_NoRD,VW_RD
2008-05-30,0.04640558316633266,0.0482459680998613,0.03553206218631426,0.03261362088275182
2008-06-30,-0.0727880568017136,-0.09504320244678996,-0.0671059602491362,-0.08862310294145462
2008-07-31,-0.012815102904040403,0.010318936885339821,-0.051933178671130974,-0.007598545185292013
2008-08-29,0.0296064776079377,0.02041228348647055,0.014825332240891888,0.02001233897990863
2008-09-30,-0.12791356493921946,-0.13747764683097885,-0.12435368033269588,-0.10407566933155149
2008-10-31,-0.2283993545050097,-0.2334349586467964,-0.1905206885526204,-0.1726021991705265
2008-11-28,-0.148245366710013,-0.15165073014804845,-0.0769413328226976,-0.07474946381166706
2008-12-31,0.027800377768475097,0.03277036400541272,0.020092038568133887,0.016159966574253566
2009-01-30,-0.037987285526315785,-0.002423851907085321,-0.05252482858877802,-0.05405055726004737
2009-02-27,-0.10962127326732674,-0.11645009709670848,-0.08513397432469241,-0.10157371138721426
2009-03-31,0.12453223771580345,0.1251305059151009,0.07969545898919353,0.09411858400421226
2009-04-30,0.2587271859531773,0.223395078817734,0.15334966773359307,0.13569056420851322
2009-05-29,0.10523668583335974,0.08569112907801418,0.08460966528246616,0.04293760550410829
2009-06-30,0.026671287246651795,0.059941805455850684,-0.019490040164472436,0.011143199607508567
2009-07-31,0.09756163530564917,0.10543352146707896,0.07301854048308651,0.0820683103108451
2009-08-31,0.07847225806451613,0.06556138282899367,0.021532683525666653,0.01980414505226191
2009-09-30,0.08578297154202515,0.09498672206506363,0.052088801890285336,0.046775086833451586
2009-10-30,-0.04494562933333333,-0.06703882018479033,-0.02628758174503825,-0.011048969017769594
2009-11-30,0.018532349348551354,0.03462911659513591,0.05240943076589606,0.055881266722260486
2009-12-31,0.07142612790507094,0.08531987904967603,0.045156338133367564,0.02847659989911716
2010-01-29,-0.01467180661808162,-0.02389633454018827,-0.03750717407060689,-0.045894233476573926
2010-02-26,0.042783392297009656,0.04847820903131828,0.03716220513817334,0.034352444435243816
2010-03-31,0.08185858373870744,0.08285700341679017,0.05529309340206,0.06177512757921741
